;Date;DAX;DlogDAX;y1;y2;y3
170;2000-09-01;7344,67;1,761173786;0,234545226;0,055011463;0
171;2000-09-05;7395,07;0,683868188;-0,823118935;0,67752478;0,67752478
172;2000-09-06;7333,02;-0,842612547;-1,079350855;1,164998269;1,164998269
173;2000-09-07;7373,34;0,548335564;0,51369869;0,263886344;0
174;2000-09-08;7267,77;-1,442128768;-0,509993827;0,260093703;0,260093703
175;2000-09-11;7214,45;-0,736354522;-0,361967059;0,131020152;0,131020152
176;2000-09-12;7135,75;-1,096859821;-0,605489436;0,366617457;0,366617457
177;2000-09-13;7006,26;-1,83133259;0,076581727;0,005864761;0
178;2000-09-14;7048,5;0,601079309;-0,271906295;0,073933034;0,073933034
179;2000-09-15;6999,54;-0,697039562;-1,072567844;1,150401779;1,150401779
180;2000-09-18;6891,69;-1,552809464;-1,595008428;2,544051886;2,544051886
181;2000-09-19;6937,74;0,66597351;0,842254136;0,709392029;0
182;2000-09-20;6765,23;-2,51798135;-0,596034389;0,355256993;0,355256993
183;2000-09-21;6682,92;-1,224124178;-0,171637438;0,02945941;0,02945941
184;2000-09-22;6740,25;0,854199844;-0,131452729;0,01727982;0,01727982
185;2000-09-25;6788,69;0,716097595;-0,762631144;0,581606262;0,581606262
186;2000-09-26;6765,04;-0,348981778;-0,851103969;0,724377965;0,724377965
187;2000-09-27;6814,06;0,721995021;-0,193860601;0,037581933;0,037581933
188;2000-09-28;6832,76;0,274056692;2,123409292;4,508867021;0
189;2000-09-29;6798,12;-0,508258815;-1,345668343;1,810823289;1,810823289
190;2000-10-02;6862,26;0,939073018;-0,058049103;0,003369698;0,003369698
191;2000-10-03;6862,26;0;-0,825499882;0,681450055;0,681450055
192;2000-10-04;6823,43;-0,567455557;0,474259004;0,224921603;0
193;2000-10-05;6892,49;1,007013508;0,220457303;0,048601423;0
194;2000-10-06;6776,39;-1,698790129;-1,956872035;3,829348161;3,829348161
195;2000-10-09;6680,78;-1,420976457;-0,660848667;0,43672096;0,43672096
196;2000-10-10;6673,15;-0,114273488;-1,276281571;1,62889465;1,62889465
197;2000-10-11;6561,63;-1,685296461;-1,739867669;3,027139507;3,027139507
198;2000-10-12;6465,26;-1,479581973;-2,791053533;7,789979824;7,789979824
199;2000-10-13;6661,3;2,987143273;2,87655849;8,274588746;0
200;2000-10-16;6627,25;-0,512472384;0,1097127;0,012036877;0
201;2000-10-17;6531,71;-1,452115955;-1,676348205;2,810143305;2,810143305
202;2000-10-18;6483;-0,748541111;-0,815614895;0,665227656;0,665227656
203;2000-10-19;6619,43;2,082589733;3,131801838;9,80818275;0
204;2000-10-20;6618,43;-0,015108182;0,957291708;0,916407414;0
205;2000-10-23;6620,87;0,036859955;0,152085275;0,023129931;0
206;2000-10-24;6802,81;2,710898086;0,1007365;0,010147843;0
207;2000-10-25;6748,22;-0,805699571;-2,438494935;5,946257546;5,946257546
208;2000-10-26;6767,9;0,291208038;-0,087393731;0,007637664;0,007637664
209;2000-10-27;6924,68;2,290099484;0,967785901;0,93660955;0
210;2000-10-30;6926,57;0,027289956;1,441427525;2,077713309;0
211;2000-10-31;7077,44;2,154751922;2,34198926;5,484913695;0
212;2000-11-01;7059,07;-0,259894562;-0,436985642;0,190956451;0,190956451
213;2000-11-02;7088,64;0,41801879;0,561967434;0,315807397;0
214;2000-11-03;7128,27;0,557506556;-0,075824313;0,005749326;0,005749326
215;2000-11-06;7136,3;0,112586651;0,448298225;0,200971298;0
216;2000-11-07;7076,28;-0,844608886;0,080596465;0,00649579;0
217;2000-11-08;7008,64;-0,960467223;-1,61085891;2,594866428;2,594866428
218;2000-11-09;6959,5;-0,703604098;-0,776379523;0,602765164;0,602765164
219;2000-11-10;6851,69;-1,561229551;-2,638438285;6,961356581;6,961356581
220;2000-11-13;6742,1;-1,612388808;-1,322946104;1,750186393;1,750186393
221;2000-11-14;6966,65;3,276302886;2,066484154;4,27035676;0
222;2000-11-15;6961,09;-0,079840668;0,533942851;0,285094968;0
223;2000-11-16;6842,11;-1,723990768;-1,134069538;1,286113717;1,286113717
224;2000-11-17;6752,29;-1,321445699;-0,533994455;0,285150078;0,285150078
225;2000-11-20;6609,48;-2,137672452;-2,018127533;4,07283874;4,07283874
226;2000-11-21;6678,07;1,032404156;0,265471829;0,070475292;0
227;2000-11-22;6510,54;-2,540662156;-1,947799774;3,79392396;3,79392396
228;2000-11-24;6664,18;2,332451321;1,253591799;1,5714924;0
229;2000-11-27;6696,91;0,489931068;0,512249647;0,262399701;0
230;2000-11-28;6625,56;-1,071132938;-0,926988658;0,859307971;0,859307971
231;2000-11-29;6598,32;-0,411982543;0,386896284;0,149688735;0
232;2000-11-30;6372,33;-3,484989139;-2,148906633;4,617799715;4,617799715
233;2000-12-01;6512,91;2,182118117;-0,071420647;0,005100909;0,005100909
234;2000-12-04;6408,1;-1,622354581;0,626551777;0,392567129;0
235;2000-12-05;6637,09;3,511079928;3,821392587;14,6030413;0
236;2000-12-06;6622,25;-0,223842306;-1,481475315;2,19476911;2,19476911
237;2000-12-07;6566,08;-0,851818837;-0,616415279;0,379967797;0,379967797
238;2000-12-08;6691,25;1,888369974;1,769501662;3,131136131;0
239;2000-12-11;6782,52;1,354801159;0,889077115;0,790458116;0
240;2000-12-12;6733,59;-0,724028049;-0,329860535;0,108807973;0,108807973
241;2000-12-13;6620,21;-1,698134232;-0,925291047;0,856163522;0,856163522
242;2000-12-14;6469,95;-2,295871099;-1,559008663;2,430508012;2,430508012
243;2000-12-15;6331,3;-2,166279419;-2,264900306;5,129773398;5,129773398
244;2000-12-18;6390,25;0,926780494;0,5598298;0,313409405;0
245;2000-12-19;6479,28;1,383600182;-1,411960183;1,993631558;1,993631558
246;2000-12-20;6248,76;-3,622634902;-3,290693523;10,82866386;10,82866386
247;2000-12-21;6200,71;-0,771924244;0,38271821;0,146473229;0
248;2000-12-22;6251,4;0,814163704;2,177039841;4,739502467;0
249;2000-12-26;6251,4;0;0,965667883;0,932514461;0
250;2000-12-27;6328,16;1,220407593;1,164893587;1,35697707;0
251;2000-12-28;6371,64;0,684737868;0,36906091;0,136205956;0
252;2000-12-29;6433,61;0,967891822;-0,938260341;0,880332468;0,880332468
253;2001-01-02;6289,82;-2,260335805;-2,816686639;7,933723624;7,933723624
254;2001-01-03;6434,96;2,281317157;4,608798737;21,2410258;0
255;2001-01-04;6376,54;-0,911999452;-0,801478555;0,642367874;0,642367874
256;2001-01-05;6382,31;0,090447029;-2,456206934;6,032952504;6,032952504
257;2001-01-08;6392,17;0,154370306;-0,533689561;0,284824547;0,284824547
258;2001-01-09;6404,52;0,193018723;0,067296534;0,004528823;0
259;2001-01-10;6320,07;-1,327370704;1,170459485;1,369975405;0
260;2001-01-11;6465,21;2,270521025;1,063968413;1,132028783;0
261;2001-01-12;6490,03;0,383165891;-0,635148158;0,403413182;0,403413182
262;2001-01-16;6502,89;0,197954027;0,613240618;0,376064055;0
263;2001-01-17;6653,38;2,287830274;0,225829228;0,05099884;0
264;2001-01-18;6635,76;-0,265179091;1,461561332;2,136161526;0
265;2001-01-19;6651,53;0,237369808;-0,250178903;0,062589483;0,062589483
266;2001-01-22;6675;0,352230089;0,030994744;0,000960674;0
267;2001-01-23;6722,41;0,707751691;1,284056207;1,648800343;0
268;2001-01-24;6706,67;-0,234416761;0,386159673;0,149119293;0
269;2001-01-25;6727,49;0,30995636;-0,355360821;0,126281313;0,126281313
270;2001-01-26;6695,2;-0,481126545;-0,246622652;0,060822733;0,060822733
271;2001-01-29;6750,96;0,829386526;0,617985846;0,381906506;0
272;2001-01-30;6739,3;-0,172865503;0,782454332;0,612234781;0
273;2001-01-31;6795,14;0,825158881;-0,470593038;0,221457807;0,221457807
274;2001-02-01;6704,68;-1,340186076;0,501677845;0,25168066;0
275;2001-02-02;6638,2;-0,996494762;-1,77645943;3,155808106;3,155808106
276;2001-02-05;6628,07;-0,152718164;0,259564604;0,067373784;0
277;2001-02-06;6693,03;0,975302564;-0,212443264;0,045132141;0,045132141
278;2001-02-07;6578,96;-1,719000827;-0,876648456;0,768512515;0,768512515
